,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
14,0.0,0.0,0.1,0.2,0.5,0.6,0.7,0.8,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.6,0.5,0.5,0.5
15,0.1,0.2,0.3,0.4,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.7,0.6,0.5,0.5
16,0.1,0.2,0.3,0.3,0.3,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.5,0.5
17,0.0,0.2,0.1,0.3,0.3,0.7,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.5,0.5
18,0.0,0.1,0.3,0.3,0.3,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.7,0.6,0.6
19,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.6,0.6,0.6,0.6
20,0.0,0.0,0.2,0.2,0.4,0.4,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.7,0.5,0.5
21,0.1,0.1,0.1,0.2,0.3,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.7,0.7,0.6
22,0.2,0.1,0.4,0.4,0.4,0.6,0.6,0.8,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.5
23,0.1,0.2,0.2,0.3,0.5,0.6,0.6,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.7,0.6,0.6,0.5
24,0.0,0.1,0.2,0.4,0.4,0.5,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.7,0.6,0.5,0.5
25,0.3,0.1,0.1,0.3,0.4,0.3,0.6,0.8,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.7,0.7,0.7,0.6,0.5
26,0.0,0.0,0.0,0.4,0.5,0.7,0.8,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.5,0.5
27,0.0,0.1,0.0,0.4,0.7,0.6,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.7,0.6,0.5,0.5
28,0.2,0.1,0.3,0.3,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.6,0.5,0.5
29,0.0,0.2,0.2,0.3,0.5,0.6,0.8,0.8,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.6,0.6,0.6,0.5
30,0.0,0.1,0.2,0.3,0.3,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.5,0.5
31,0.0,0.2,0.3,0.4,0.3,0.6,0.7,0.8,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.6,0.5
32,0.0,0.1,0.2,0.4,0.4,0.5,0.6,0.8,1.0,1.0,1.0,1.0,0.9,0.9,0.7,0.7,0.6,0.6,0.5,0.5
